ds,name,civ,labor,emp,unemp
1976-04-01,Alaska,237000,161033,149867,11166
1976-04-01,Arizona,1636000,966567,870141,96426
1976-04-01,Arkansas,1541000,888945,825015,63930
1976-04-01,California,15731000,9789023,8902662,886361
1976-04-01,Colorado,1846000,1229301,1160052,69249
1976-04-01,Connecticut,2255000,1446319,1307272,139047
1976-04-01,Delaware,419000,261570,240379,21191
1976-04-01,Florida,6468000,3586526,3246473,340053
1976-04-01,Georgia,3540000,2249492,2063590,185902
1976-04-01,Hawaii,588000,408192,368776,39416
1976-04-01,Idaho,585000,366582,346124,20458
1976-04-01,Illinois,8155000,5131695,4795335,336360
1976-04-01,Indiana,3801000,2426376,2273481,152895
1976-04-01,Iowa,2075000,1330950,1274556,56394
1976-04-01,Kansas,1642000,1067139,1022562,44577
1976-04-01,Kentucky,2475000,1488051,1404930,83121
1976-04-01,Louisiana,2692000,1519054,1422019,97035
1976-04-01,Maine,769000,475164,434471,40693
1976-04-01,Maryland,2966000,1900112,1778204,121908
1976-04-01,Massachusetts,4204000,2715481,2436049,279432
1976-04-01,Michigan,6436000,3963423,3576236,387187
1976-04-01,Minnesota,2802000,1832231,1726077,106154
1976-04-01,Mississippi,1650000,964902,903082,61820
1976-04-01,Missouri,3477000,2099444,1973947,125497
1976-04-01,Montana,534000,332503,313343,19160
1976-04-01,Nebraska,1098000,711432,688636,22796
1976-04-01,Nevada,458000,322625,293430,29195
1976-04-01,Ohio,7716000,4755492,4375662,379830
1976-04-01,Oklahoma,2011000,1186430,1118154,68276
1976-04-01,Oregon,1728000,1078204,978506,99698
1976-04-01,Pennsylvania,8792000,5126833,4710603,416230
1976-04-01,Tennessee,3097000,1835764,1726382,109382
1976-04-01,Texas,8896000,5646313,5312877,333436
1976-04-01,Utah,830000,519054,489107,29947
1976-04-01,Vermont,341000,216413,197785,18628
1976-04-01,Virginia,3559000,2330733,2191295,139438
1976-04-01,Washington,2617000,1585515,1451387,134128
1976-04-01,Wisconsin,3256000,2130436,2011006,119430
1976-04-01,Wyoming,273000,177119,170037,7082
1976-05-01,Alabama,2626000,1491392,1395320,96072
1976-05-01,Alaska,239000,162338,151056,11282
1976-05-01,Arizona,1642000,971080,875687,95393
1976-05-01,Arkansas,1542000,889913,827062,62851
1976-05-01,California,15768000,9821255,8938559,882696
1976-05-01,Colorado,1850000,1229470,1160471,68999
1976-05-01,Connecticut,2257000,1451616,1314537,137079
1976-05-01,Delaware,420000,262016,240214,21802
1976-05-01,Florida,6483000,3591097,3256638,334459
1976-05-01,Georgia,3547000,2256660,2073036,183624
1976-05-01,Hawaii,590000,408933,370291,38642
1976-05-01,Idaho,587000,368506,347899,20607
1976-05-01,Illinois,8164000,5141790,4804374,337416
1976-05-01,Indiana,3806000,2431160,2284630,146530
1976-05-01,Iowa,2078000,1332994,1277930,55064
1976-05-01,Kansas,1644000,1070872,1026320,44552
1976-05-01,Kentucky,2480000,1490599,1408137,82462
1976-05-01,Louisiana,2699000,1523344,1424086,99258
1976-05-01,Maine,771000,476012,435612,40400
1976-05-01,Maryland,2971000,1904080,1781196,122884
1976-05-01,Massachusetts,4207000,2718111,2444886,273225
1976-05-01,Michigan,6442000,3975642,3594264,381378
1976-05-01,Minnesota,2806000,1837908,1733886,104022
1976-05-01,Mississippi,1653000,966754,906282,60472
1976-05-01,Missouri,3481000,2108332,1981037,127295
1976-05-01,Montana,535000,332602,313383,19219
1976-05-01,Nebraska,1100000,712943,690704,22239
1976-05-01,Nevada,460000,324425,295681,28744
1976-05-01,Ohio,7721000,4754562,4382938,371624
1976-05-01,Oklahoma,2015000,1187895,1120284,67611
1976-05-01,Oregon,1732000,1081658,983065,98593
1976-05-01,Pennsylvania,8798000,5130966,4715133,415833
1976-05-01,Tennessee,3103000,1841933,1732735,109198
1976-05-01,Texas,8922000,5676963,5339976,336987
1976-05-01,Utah,833000,521698,492102,29596
1976-05-01,Vermont,342000,217411,198845,18566
1976-05-01,Virginia,3567000,2333352,2195739,137613
1976-05-01,Washington,2623000,1593274,1457626,135648
1976-05-01,Wisconsin,3260000,2134954,2018302,116652
1976-05-01,Wyoming,274000,178560,171583,6977
1976-06-01,Alabama,2631000,1496160,1399430,96730
1976-06-01,Alaska,240000,163908,152324,11584
1976-06-01,Arizona,1647000,976461,881602,94859
1976-06-01,Arkansas,1544000,891434,829833,61601
1976-06-01,California,15804000,9861887,8977255,884632
1976-06-01,Colorado,1855000,1231223,1161704,69519
1976-06-01,Connecticut,2259000,1457006,1322011,134995
1976-06-01,Delaware,420000,262640,240155,22485
1976-06-01,Florida,6499000,3597210,3267451,329759
1976-06-01,Georgia,3553000,2265027,2083290,181737
1976-06-01,Hawaii,591000,409662,371836,37826
1976-06-01,Idaho,588000,370833,350070,20763
1976-06-01,Illinois,8174000,5151113,4812220,338893
1976-06-01,Indiana,3810000,2438240,2296745,141495
1976-06-01,Iowa,2081000,1335252,1281456,53796
1976-06-01,Kansas,1647000,1075261,1030858,44403
1976-06-01,Kentucky,2485000,1493134,1411443,81691
1976-06-01,Louisiana,2705000,1528892,1427096,101796
1976-06-01,Maine,772000,476725,436500,40225
1976-06-01,Maryland,2975000,1909635,1785402,124233
1976-06-01,Massachusetts,4210000,2723768,2456971,266797
1976-06-01,Michigan,6448000,3987683,3613034,374649
1976-06-01,Minnesota,2811000,1845509,1742473,103036
1976-06-01,Mississippi,1656000,968797,908939,59858
1976-06-01,Missouri,3485000,2118778,1989320,129458
1976-06-01,Montana,536000,333040,313675,19365
1976-06-01,Nebraska,1101000,715081,693197,21884
1976-06-01,Nevada,462000,326591,298204,28387
1976-06-01,Ohio,7726000,4753211,4389731,363480
1976-06-01,Oklahoma,2019000,1189831,1122849,66982
1976-06-01,Oregon,1736000,1087580,989181,98399
1976-06-01,Pennsylvania,8804000,5135162,4722519,412643
1976-06-01,Tennessee,3110000,1850737,1740968,109769
1976-06-01,Texas,8948000,5708574,5369891,338683
1976-06-01,Utah,835000,524656,495414,29242
1976-06-01,Vermont,342000,218340,199914,18426
1976-06-01,Virginia,3575000,2337293,2200717,136576
1976-06-01,Washington,2630000,1604380,1466236,138144
1976-06-01,Wisconsin,3263000,2141170,2026605,114565
1976-06-01,Wyoming,275000,180143,173267,6876
1976-07-01,Alabama,2636000,1500730,1402364,98366
1976-07-01,Alaska,242000,165368,153282,12086
1976-07-01,Arizona,1652000,981975,887162,94813
1976-07-01,Arkansas,1545000,893053,832622,60431
1976-07-01,California,15841000,9903604,9010377,893227
